rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country
46,k.mbappe,86,1200.0,72700000.0,2500000.0,0.0216,1600000.0,2800000000.0,
47,nehakakkar,84,2300.0,70400000.0,1500000.0,0.0054,370100.0,3500000000.0,India
48,nba,87,12900.0,70100000.0,370800.0,0.0028000000000000004,196900.0,4800000000.0,United States
49,shawnmendes,83,2500.0,69900000.0,3500000.0,0.0287,2000000.0,8800000000.0,Canada
50,jennierubyjane,76,860.0,68900000.0,5100000.0,0.0836,5700000.0,4400000000.0,
51,narendramodi,85,540.0,68900000.0,2900000.0,0.0301,2000000.0,1600000000.0,India
52,aliaabhatt,82,1800.0,68700000.0,1800000.0,0.031400000000000004,2100000.0,3300000000.0,India
53,deepikapadukone,83,260.0,68400000.0,1600000.0,0.0223,1500000.0,419000000.0,India
54,tomholland2013,77,1200.0,67700000.0,5400000.0,0.10830000000000001,7300000.0,6600000000.0,
55,ronaldinho,78,2900.0,67700000.0,872900.0,0.0049,325700.0,2600000000.0,Brazil
56,emmawatson,87,340.0,67300000.0,1900000.0,0.0001,0.0,639000000.0,United States
57,bts.bighitofficial,78,1200.0,66900000.00000001,4099999.9999999995,0.054000000000000006,3600000.0,4900000000.0,Uruguay
58,katrinakaif,85,1000.0,66300000.0,1700000.0,0.0225,1500000.0,1700000000.0,India
59,marvel,82,7000.0,66200000.0,332300.0,0.0051,339000.0,2300000000.0,Turkey
60,justintimberlake,87,780.0,65900000.00000001,600400.0,0.003,189400.0,470700000.0,United States
61,camila_cabello,77,2900.0,65000000.0,1900000.0,0.0219,1400000.0,5400000000.0,United States
62,willsmith,82,1400.0,63900000.0,1400000.0,0.0002,0.0,1900000000.0,United States
63,raffinagita1717,83,17500.0,63500000.0,386900.0,0.0058,366600.0,6800000000.0,Indonesia
64,anitta,82,5100.0,63100000.0,855500.0,0.0069,426200.0,4400000000.0,United States
65,sooyaaa__,82,830.0,62900000.0,4500000.0,0.0943,5900000.0,3800000000.0,
66,maluma,84,8200.0,62800000.0,1200000.0,0.011200000000000002,696300.0,9800000000.0,Colombia
67,akshaykumar,85,1900.0,62800000.0,1500000.0,0.0101,624900.0,2900000000.0,
68,jacquelinef143,85,2400.0,62700000.0,1100000.0,0.0115,718800.0,2800000000.0,India
69,psg,86,10000.0,61900000.0,500500.0,0.0052,322200.0,5000000000.0,France
70,roses_are_rosie,82,820.0,61800000.0,4600000.0,0.09720000000000001,6000000.0,3800000000.0,
71,manchesterunited,85,9900.0,59600000.0,381800.0,0.0040999999999999995,241600.0,3800000000.0,United Kingdom
72,anushkasharma,85,1200.0,59500000.0,1900000.0,0.023399999999999997,1400000.0,2200000000.0,
73,whinderssonnunes,79,2700.0,58700000.0,1600000.0,0.0058,323100.0,4400000000.0,Brazil
74,9gag,86,10000.0,58100000.0,672600.0,0.0044,248600.0,6700000000.0,United States
75,marcelotwelve,86,2700.0,58100000.0,690900.0,0.0078000000000000005,448300.0,1900000000.0,Brazil
76,milliebobbybrown,80,280.0,57600000.0,4000000.0,0.0863,5000000.0,1100000000.0,United States
77,karimbenzema,42,2000.0,56900000.0,878500.0,0.016200000000000003,918900.0,1800000000.0,Spain
78,chrishemsworth,86,880.0,55900000.0,2800000.0,0.0369,2100000.0,2500000000.0,Australia
79,karolg,83,3300.0,55600000.0,3100000.0,0.1025,5700000.0,10100000000.0,India
80,paulpogba,80,1300.0,55200000.0,1400000.0,0.0085,462600.0,1800000000.0,France
81,iamzlatanibrahimovic,86,870.0,55100000.0,1500000.0,0.015300000000000001,837100.0,1300000000.0,
82,leonardodicaprio,86,1700.0,54600000.0,395500.0,0.002,107600.0,669300000.0,
83,juventus,87,10000.0,54500000.0,194800.0,0.0025,135500.0,1900000000.0,
84,zacefron,86,660.0,54500000.0,2300000.0,0.0818,4400000.0,1500000000.0,United States
85,bellahadid,79,3200.0,54100000.0,1100000.0,0.0206,1100000.0,3600000000.0,United Kingdom
86,tatawerneck,86,5600.0,53900000.0,959800.0,0.0051,266500.0,5400000000.0,Brazil
87,beingsalmankhan,76,1200.0,53500000.0,1400000.0,0.013300000000000001,693900.0,1600000000.0,India
88,robertdowneyjr,86,420.0,53400000.0,3000000.0,0.020499999999999997,1100000.0,1300000000.0,United States
89,sunnyleone,84,4600.0,53400000.0,764000.0,0.005699999999999999,301300.0,3500000000.0,
90,ladygaga,83,3600.0,53200000.0,1400000.0,0.0102,531600.0,5100000000.0,United States
91,dishapatani,74,2100.0,53000000.0,1600000.0,0.018500000000000003,971700.0,3400000000.0,United States
92,sergioramos,87,2200.0,52800000.0,1100000.0,0.0106,557900.0,2500000000.0,
93,jbalvin,87,10000.0,52800000.0,878000.0,0.0066,340500.0,8800000000.0,
94,mosalah,22,840.0,52500000.0,1800000.0,0.0218,1100000.0,1500000000.0,
95,ayutingting92,85,10000.0,52400000.0,147300.0,0.0011,56300.0,1500000000.0,Indonesia
96,433,79,10300.0,51200000.0,863200.0,0.0152,774200.0,8900000000.0,Netherlands
97,hudabeauty,82,2400.0,50800000.0,186400.0,0.0004,16800.0,453600000.0,United States
98,adele,84,420.0,50700000.0,4700000.0,0.0382,1900000.0,2000000000.0,United States
99,michelleobama,85,600.0,50700000.0,700500.0,0.012199999999999999,611200.0,421700000.0,
100,kritisanon,76,2700.0,50200000.0,897200.0,0.0121,604400.0,2400000000.0,India
101,jamesrodriguez10,86,1100.0,49900000.0,1400000.0,0.0075,363900.0,1500000000.0,Colombia
102,krisjenner,80,6400.0,49700000.0,356800.0,0.0091,452900.0,2300000000.0,United States
103,thv,83,60.0,49300000.0,15400000.0,0.258,12600000.0,987400000.0,
104,lelepons,81,2500.0,49200000.0,2400000.0,0.0355,1700000.0,6100000000.0,United States
105,charlidamelio,80,150.0,49100000.0,4200000.0,0.032799999999999996,1600000.0,654400000.0,
106,gucci,86,8900.0,49000000.0,115100.0,0.0015,72400.0,1000000000.0,Italy
107,prillylatuconsina96,84,6500.0,48900000.0,372400.0,0.0027,131800.0,2400000000.0,Indonesia
108,louisvuitton,82,6500.0,48700000.0,127500.0,0.0008,40500.0,824000000.0,France
109,paulodybala,85,1300.0,48300000.0,1800000.0,0.0288,1400000.0,2300000000.0,
110,blackpinkofficial,85,1400.0,48200000.0,2100000.0,0.0277,1300000.0,3000000000.0,
111,dovecameron,85,170.0,48200000.0,1600000.0,0.0175,841400.0,283000000.0,United States
112,garethbale11,86,980.0,48100000.0,763000.0,0.0143,681300.0,753100000.0,
113,jokowi,85,3500.0,47700000.0,452600.0,0.0040999999999999995,189600.0,1600000000.0,
114,nusr_et,81,2300.0,47300000.0,728200.0,0.0029,133000.0,1700000000.0,United Arab Emirates
115,harrystyles,57,590.0,46900000.0,4700000.0,0.0638,2900000.0,2800000000.0,United States
116,haileybieber,85,2100.0,46900000.0,2000000.0,0.0347,1600000.0,4200000000.0,
117,vanessahudgens,84,4200.0,46800000.0,633900.0,0.0063,292900.0,2700000000.0,United States
118,5-Minute Crafts GIRLY,85,10000.0,46500000.0,157000.0,0.0003,12400.0,1600000000.0,United States
119,zayn,82,160.0,46500000.0,4700000.0,0.08810000000000001,4000000.0,773500000.0,United States
120,larissamanoela,85,5200.0,46500000.0,579600.0,0.005699999999999999,259399.99999999997,3000000000.0,Brazil
121,travisscott,78,3200.0,46200000.0,3000000.0,0.0571,2600000.0,9600000000.0,United States
122,thenotoriousmma,82,3200.0,45900000.0,1100000.0,0.0069,311500.0,3500000000.0,United States
123,daddyyankee,80,20.0,45900000.0,652500.0,0.01,455300.0,18300000.0,Puerto Rico
124,natgeotravel,82,16900.0,45800000.0,189900.0,0.0012,52800.0,3200000000.0,United States
125,nikefootball,85,1800.0,45400000.0,431200.0,0.0044,199800.0,784000000.0,United States
126,stephencurry30,84,1100.0,45400000.0,1100000.0,0.0276,1200000.0,1200000000.0,
127,vancityreynolds,86,680.0,44800000.0,1400000.0,0.026099999999999998,1200000.0,925700000.0,
128,maisa,42,1500.0,44500000.0,553000.0,0.0067,294100.0,820100000.0,Brazil
129,luissuarez9,85,970.0,44200000.0,801800.0,0.0096,414800.0,782500000.0,
130,gusttavolima,76,4900.0,43900000.0,475100.0,0.0070999999999999995,303900.0,2300000000.0,Brazil
131,jannatzubair29,84,1600.0,43800000.0,1300000.0,0.0218,944300.0,2200000000.0,
132,varundvn,84,1900.0,43800000.0,1100000.0,0.0148,640500.0,2000000000.0,India
133,hrithikroshan,85,580.0,43700000.0,1600000.0,0.0382,1600000.0,949900000.0,C̫te d'Ivoire
134,nickyjampr,81,10000.0,43400000.0,381600.0,0.0033,139300.0,3800000000.0,Colombia
135,buzzfeedtasty,85,8900.0,43200000.0,65099.99999999999,0.0002,7700.0,580700000.0,Spain
136,brunamarquezine,84,3000.0,43100000.0,969700.0,0.0105,444200.0,2900000000.0,United States
137,caradelevingne,86,4400.0,42900000.0,790200.0,0.0043,181000.0,3500000000.0,United States
138,kapilsharma,83,950.0,42200000.0,736400.0,0.0149,624500.0,710700000.0,
139,badbunnypr,83,10.0,42100000.0,3700000.0,0.1309,5400000.0,67500000.0,
140,britneyspears,80,3000.0,42100000.0,513100.0,0.0055000000000000005,221700.0,1600000000.0,Turkey
141,j.m,83,20.0,41900000.0,14200000.0,0.2641,11000000.0,368100000.0,
142,mariliamendoncacantora,73,1400.0,41800000.0,1000000.0,0.019799999999999998,818600.0,1500000000.0,Brazil
143,norafatehi,83,1700.0,41600000.0,1400000.0,0.0176,727500.0,2300000000.0,Anguilla
144,theweeknd,83,670.0,41500000.0,1100000.0,0.0397,1600000.0,767000000.0,
145,dior,85,9700.0,41500000.0,88800.0,0.0016,63600.0,863000000.0,
146,ranveersingh,85,1800.0,40800000.0,1000000.0,0.0076,299300.0,1800000000.0,Switzerland
147,marinaruybarbosa,81,2100.0,40700000.0,586400.0,0.0001,0.0,1200000000.0,Brazil
148,jenniferaniston,85,90.0,40700000.0,4600000.0,0.018799999999999997,731000.0,452000000.0,
149,addisonraee,85,300.0,40100000.0,3100000.0,0.024900000000000002,994400.0,957900000.0,
150,andresiniesta8,85,2000.0,40000000.0,250800.0,0.0040999999999999995,161700.0,500500000.0,Spain
151,princessyahrini,81,4500.0,40000000.0,118300.0,0.0022,87400.0,529900000.0,Indonesia
152,liverpoolfc,75,10000.0,39900000.0,346700.0,0.0042,162900.0,3500000000.0,United Kingdom
153,teddysphotos,80,2300.0,39900000.0,715500.0,0.0046,181100.0,1700000000.0,United States
154,worldstar,78,11600.0,39200000.0,157400.0,0.0023,84400.0,1800000000.0,United States
155,natashawilona12,84,1200.0,39200000.0,486500.0,0.0059,227700.0,563900000.0,
156,mahi7781,58,100.0,39100000.0,4099999.9999999995,0.0017000000000000001,0.0,439400000.0,
157,georginagio,74,730.0,39100000.0,2200000.0,0.08560000000000001,3300000.0,1600000000.0,
158,cznburak,80,1800.0,39000000.0,815800.0,0.0101,383300.0,1400000000.0,
159,chrissyteigen,79,5100.0,38900000.0,623100.0,0.0043,162100.0,3200000000.0,United States
160,ruben_onsu,75,13400.0,38800000.0,139300.0,0.0013,49100.0,1900000000.0,Indonesia
161,wizkhalifa,80,500.0,38700000.0,398700.0,0.0031,115700.0,199800000.0,United States
162,hm,83,7300.0,38500000.0,88400.0,0.0006,22400.0,644100000.0,Sweden
163,anushkasen0408,85,5300.0,38300000.0,695400.0,0.0175,658300.0,3700000000.0,
164,prattprattpratt,84,730.0,38300000.0,813500.0,0.01,363800.0,594700000.0,
165,marvelstudios,83,2700.0,38100000.0,594200.0,0.0158,555900.0,1600000000.0,
166,wesleysafadao,80,8900.0,37400000.0,256100.00000000003,0.0002,0.0,2300000000.0,
167,parineetichopra,84,1300.0,37400000.0,505700.0,0.0068000000000000005,246900.0,672100000.0,
168,rkive,83,110.0,37000000.0,10900000.0,,0.0,1200000000.0,
169,laudyacynthiabella,76,380.0,36900000.0,172800.0,0.0012,43400.0,66700000.0,Indonesia
170,antogriezmann,83,870.0,36500000.0,1100000.0,0.005699999999999999,203600.0,955400000.0,France
171,gisel_la,85,9900.0,36500000.0,150500.0,0.001,33400.0,1500000000.0,
172,eminem,84,660.0,36400000.0,1100000.0,0.0269,962700.0,730100000.0,United States
173,mercedesbenz,77,10000.0,36000000.0,197900.0,0.0018,64599.99999999999,2000000000.0,British Virgin Islands
174,colesprouse,81,1200.0,35900000.0,2200000.0,0.023399999999999997,834500.0,2600000000.0,
175,nattinatasha,47,30.0,35900000.0,518100.0,0.008,285900.0,18700000.0,Czech Republic
176,shahidkapoor,82,1100.0,35600000.0,1300000.0,0.0254,780000.0,1500000000.0,
177,tigerjackieshroff,83,2100.0,35600000.0,1100000.0,0.012,422900.0,2200000000.0,India
178,kimberly.loaiza,78,590.0,35500000.0,2600000.0,0.052300000000000006,1800000.0,1600000000.0,Mexico
179,barackobama,81,660.0,35400000.0,1100000.0,0.011899999999999999,411500.0,739500000.0,United States
180,sachintendulkar,76,1000.0,35300000.0,800400.0,0.0203,664500.0,810000000.0,
181,simonemendes,72,4400.0,35000000.0,420000.0,0.006500000000000001,222900.0,1900000000.0,Brazil
182,ivetesangalo,84,7600.0,34800000.0,226400.0,0.0036,121100.0,1700000000.0,Brazil
183,lunamaya,83,4100.0,34800000.0,145400.0,0.0017000000000000001,58600.0,589600000.0,
184,toni.kr8s,83,940.0,34700000.0,597200.0,0.0168,533500.0,561300000.0,
185,dannapaola,68,1900.0,34700000.0,1500000.0,0.0349,1200000.0,2800000000.0,Mexico
186,paollaoliveirareal,84,4600.0,34700000.0,367800.0,0.005699999999999999,192300.0,1700000000.0,
187,blakelively,80,110.0,34600000.0,3100000.0,0.0002,0.0,350900000.0,United States
188,adidasoriginals,83,150.0,34200000.0,136200.0,0.002,66800.0,21200000.0,
189,disney,77,7300.0,34200000.0,185200.0,0.0044,132000.0,1400000000.0,United States
190,shaymitchell,83,6300.0,34100000.0,732400.0,0.0073,247500.0,4600000000.0,United States
191,bmw,79,9300.0,33700000.0,231300.0,0.0023,76500.0,2200000000.0,Germany
192,danbilzerian,84,1400.0,33600000.0,2000000.0,0.0358,1200000.0,2800000000.0,Canada
193,khabib_nurmagomedov,63,4500.0,33500000.0,685100.0,0.0067,220700.0,3100000000.0,Russia
194,zidane,41,370.0,33500000.0,1100000.0,0.0161,532700.0,391900000.0,France
195,sonamkapoor,75,4800.0,33299999.999999996,264700.0,0.0063,209200.0,1300000000.0,India
196,iambeckyg,71,2300.0,33200000.000000004,623800.0,0.013999999999999999,464700.0,1400000000.0,United States
197,nancyajram,81,3800.0,33200000.000000004,390400.0,0.0064,208000.0,1500000000.0,France
198,luansantana,79,770.0,33200000.000000004,193300.0,0.0026,82600.0,149200000.0,Brazil
199,nickjonas,78,2300.0,33000000.0,719600.0,0.014199999999999999,467700.0,1700000000.0,United States
200,raisa6690,80,4200.0,32799999.999999996,232200.0,0.003,97400.0,969100000.0,Indonesia
